internal id	Hallmark	Pathway(s)	Source(s)	Genes
512	Sustaining Proliferative Signaling	ERK Cascade ( B Cell Receptor Signaling ) // ERK Cascade ( CD4 T Cell Receptor Signaling ) // ERK Cascade ( FGF Signaling Pathway ) // ERK Cascade ( GPCR Adenosine A2A Receptor Signaling Pathway ) // ERK Cascade ( GPCR GroupI Metabotropic Glutamate Receptor Signaling Pathway ) // ERK Cascade ( GPCR Signaling (G Alpha Q) ) // ERK Cascade ( GPCR Signaling (G Alpha S, Epac And ERK) ) // ERK Cascade ( IGF1 Signaling Pathway ) // ERK Cascade ( Insulin Receptor Signaling (D. Melanogaster) ) // ERK Cascade ( Insulin Receptor Signaling (Mammal) ) // ERK Cascade ( Integrin Signaling Pathway ) // ERK Cascade ( JAK STAT Pathway And Regulation Pathway Diagram ) // ERK Cascade ( NGF Signaling Pathway ) // Negative Feedback Regulation Of MAPK Pathway	reactome	ARAF, BRAF, ELK1, MAP2K1, MAP2K2, MAPK1, MAPK3, RAF1
513	Sustaining Proliferative Signaling	ERK Cascade ( CD4 T Cell Receptor Signaling (ERK Cascade) )	reactome	ARAF, BRAF, MAP2K1, MAP2K2, MAPK1, MAPK10, MAPK3, MAPK8, MAPK9, RAF1
514	Sustaining Proliferative Signaling	ERK Cascade ( EGF Signaling Pathway Diagram ) // ERK Cascade ( HGF Signaling Pathway ) // ERK Cascade ( PDGF Signaling Pathway ) // ERK Cascade ( VEGF Signaling Pathway )	reactome	ELK1, MAP2K1, MAP2K2, MAPK1, MAPK3, RAF1
515	Sustaining Proliferative Signaling	ERK Cascade ( FGF8 Signaling (Mouse) ) // ERK Cascade ( FGF8 Signaling (Xenopus) )	inoh // reactome	ARAF, BRAF, ELK1, ELK3, ELK4, ERG, ETS1, ETS2, ETV5, ETV6, FLI1, MAP2K1, MAP2K2, MAPK1, MAPK3, RAF1, SPI1
516	Sustaining Proliferative Signaling	ERK/MAPK Targets	inoh	ELK1, MAPK1, MAPK11, MAPK14, MAPK3, MAPK7, MEF2A, MEF2C, PPP2CA, PPP2CB, PPP2R1A, PPP2R1B, PPP2R5D, RPS6KA1, RPS6KA2, RPS6KA3, RPS6KA5
562	Sustaining Proliferative Signaling	FCERI Mediated MAPK Activation	wikipathways	FOS, GRAP2, GRB2, HRAS, IGHE, IGHV3-23, IGKC, IGKV1-5, IGKV1D-16, IGKV4-1, IGLC1, IGLC2, IGLC3, IGLC6, IGLC7, JUN, KRAS, LAT, LCP2, LYN, MAP2K4, MAP2K7, MAP3K1, MAPK1, MAPK10, MAPK3, MAPK8, MAPK9, NRAS, PAK1, PAK2, PLCG1, PLCG2, RAC1, SHC1, SOS1, SYK, VAV1, VAV2, VAV3
565	Sustaining Proliferative Signaling	FGF Signaling Pathway	reactome	AKT1, FGF1, FGFR1, FGFR2, FGFR3, FGFR4, FRS2, MAPK1, MAPK14, MAPK3, PIK3CA, PLCG1, SHC1, SOS1, SPRY2
566	Sustaining Proliferative Signaling	FGF Signaling Pathway ( FGF Signaling Pathway )	reactome	ARAF, BRAF, FGF1, FGF10, FGF11, FGF13, FGF14, FGF16, FGF17, FGF18, FGF19, FGF2, FGF20, FGF21, FGF22, FGF23, FGF3, FGF4, FGF5, FGF6, FGF7, FGF8, FGF9, FGFR1, FGFR2, FGFR3, FGFR4, FRS2, FRS3, GAB1, GRB2, HRAS, KRAS, NRAS, PIK3CA, PIK3CB, PIK3CD, PIK3R1, PLCG1, PLCG2, PRKCD, RAF1, SOS1, SOS2
567	Sustaining Proliferative Signaling	FGF8 Signaling Pathway(Mouse) ( FGF8 Signaling (Mouse) ) // FGF8 Signaling Pathway(Xenopus) ( FGF8 Signaling (Xenopus) )	reactome	ARAF, BRAF, ELK1, ELK3, ELK4, ERG, ETS1, ETS2, ETV5, ETV6, FLI1, FRS2, FRS3, HRAS, KRAS, NRAS, RAF1, SOS1, SOS2, SPI1
568	Sustaining Proliferative Signaling	FGFR1b Ligand Binding And Activation	panther // pid	FGF1, FGF10, FGF2, FGF22, FGF3, FGFR1
569	Sustaining Proliferative Signaling	FGFR1c Ligand Binding And Activation // Signaling By Activated Point Mutants Of FGFR1	inoh	ANOS1, FGF1, FGF17, FGF2, FGF20, FGF23, FGF4, FGF5, FGF6, FGF8, FGF9, FGFR1
570	Sustaining Proliferative Signaling	FGFR2 Alternative Splicing	inoh	ESRP1, ESRP2, FGFR2, GTF2F1, GTF2F2, HNRNPA1, HNRNPF, HNRNPH1, HNRNPM, NCBP1, NCBP2, POLR2A, POLR2B, POLR2C, POLR2D, POLR2E, POLR2F, POLR2G, POLR2H, POLR2I, POLR2J, POLR2K, POLR2L, PTBP1, RBFOX2, TIA1, TIAL1
571	Sustaining Proliferative Signaling	FGFR2b Ligand Binding And Activation	reactome	FGF1, FGF10, FGF2, FGF22, FGF3, FGF7, FGFBP1, FGFBP2, FGFBP3, FGFR2
572	Sustaining Proliferative Signaling	FGFR2c Ligand Binding And Activation	reactome	FGF1, FGF16, FGF17, FGF18, FGF2, FGF20, FGF23, FGF4, FGF5, FGF6, FGF8, FGF9, FGFR2
573	Sustaining Proliferative Signaling	FGFR3 Mutant Receptor Activation // FGFR3c Ligand Binding And Activation // Phospholipase C Mediated Cascade; FGFR3 // Signaling By Activated Point Mutants Of FGFR3	reactome	FGF1, FGF16, FGF17, FGF18, FGF2, FGF20, FGF23, FGF4, FGF5, FGF8, FGF9, FGFR3, GALNT3, PLCG1
574	Sustaining Proliferative Signaling	FGFR3b Ligand Binding And Activation	reactome	FGF1, FGF17, FGF18, FGF20, FGF8, FGF9, FGFR3
575	Sustaining Proliferative Signaling	FGFR4 Ligand Binding And Activation // Phospholipase C Mediated Cascade; FGFR4	reactome	FGF1, FGF16, FGF17, FGF18, FGF19, FGF2, FGF20, FGF23, FGF4, FGF6, FGF8, FGF9, FGFR4, KLB, PLCG1
576	Sustaining Proliferative Signaling	FGFRL1 Modulation Of FGFR1 Signaling	reactome	FGF10, FGF17, FGF18, FGF2, FGF22, FGF23, FGF3, FGF4, FGF5, FGF8, FGFRL1, SPRED1, SPRED2
626	Sustaining Proliferative Signaling	Frs2 Mediated Activation	smpdb	BRAF, CRKL, FRS2, NGF, NTRK1, PLCG1, RAP1A, RAPGEF1, YWHAB
642	Sustaining Proliferative Signaling	G Beta:gamma Signalling Through PI3Kgamma	inoh	AKT1, AKT2, AKT3, CSF2, CSF2RA, CSF2RB, GAB2, GNB1, GNB2, GNB3, GNB4, GNB5, GNG10, GNG11, GNG12, GNG13, GNG2, GNG3, GNG4, GNG5, GNG7, GNG8, GNGT1, GNGT2, GRB2, IL2, IL2RA, IL2RB, IL2RG, IL3, IL3RA, IL5, IL5RA, JAK1, JAK2, JAK3, PDPK1, PIK3CA, PIK3CB, PIK3CD, PIK3CG, PIK3R1, PIK3R2, PIK3R3, PIK3R5, PIK3R6, RHOA, SHC1
646	Sustaining Proliferative Signaling	G1 To S Cell Cycle Control	reactome	ATM, CDC25A, GADD45A, MYC, PCNA, TP53
675	Sustaining Proliferative Signaling	Gastrin CREB Signalling Pathway Via PKC And MAPK	reactome	CCKBR, CREB1, GAST, MAPK1, MAPK3, MAPK7, RPS6KA1, RPS6KA2, RPS6KA3
662	Sustaining Proliferative Signaling	GRB2 Events In EGFR Signaling // SHC1 Events In EGFR Signaling	pid	EGF, EGFR, GRB2, HRAS, KRAS, NRAS, SHC1, SOS1
664	Sustaining Proliferative Signaling	GRB2:SOS Provides Linkage To MAPK Signaling For Integrins	reactome	APBB1IP, FGA, FGB, FGG, FN1, GRB2, ITGA2B, ITGB3, PTK2, RAP1A, RAP1B, SOS1, SRC, TLN1, VWF
734	Sustaining Proliferative Signaling	Growth Hormone Receptor Signaling	pid	ADAM17, CISH, CSH1, GH1, GH2, GHR, IRS1, IRS2, JAK2, LYN, MAPK1, MAPK3, PRL, PRLR, PTPN1, PTPN6, SH2B1, SOCS1, SOCS2, SOCS3, STAT1, STAT3, STAT5A, STAT5B
735	Sustaining Proliferative Signaling	Growth Hormone Signaling Pathway(JAK2 STAT5) ( Growth Hormone Signaling(JAK2 STAT5) )	reactome	GH1, GHR, JAK2, PTPN11, SOCS1, SOCS2, SOCS3, STAT5A, STAT5B
766	Sustaining Proliferative Signaling	Heterotrimeric GPCR Signaling Pathway (through G Alpha I And Pertussis Toxin) ( GPCR Signaling (pertussis Toxin) ) // Heterotrimeric GPCR Signaling Pathway (through G Alpha Q, PLC Beta And ERK Cascade) ( GPCR Signaling (G Alpha Q) ) // Heterotrimeric GPCR Signaling Pathway (through G Alpha S ACs Epac BRaf And ERKcascade) ( GPCR Signaling (G Alpha S, Epac And ERK) ) // Heterotrimeric GPCR Signaling Pathway (through G Alpha S ACs PKA BRaf And ERKcascade)(canonical) ( GPCR Signaling (G Alpha S, PKA And ERK) ) // Heterotrimeric GTP Binding Protein Coupled Receptor Signaling Pathway (through G Alpha I, Adenylate Cyclase And CAMP) ( GPCR Signaling (G Alpha I) ) // Heterotrimeric GTP Binding Protein Coupled Receptor Signaling Pathway (through G Alpha S, Cholera Toxin, Adenylate Cyclase And CAMP) ( GPCR Signaling (cholera Toxin) )	panther	ADCY1, ADCY10, ADCY2, ADCY3, ADCY4, ADCY5, ADCY6, ADCY7, ADCY8, ADCY9, ADORA1, ADORA2A, ADORA2B, AGT, AGTR1, AGTR2, ARAF, AREG, AVP, BDNF, BMP10, BMP15, BMP2, BMP3, BMP4, BMP5, BMP6, BMP7, BMP8B, BRAF, BTC, CALCA, CALCB, CCK, CD40LG, CD80, CD86, CGA, CGB3, CGB5, CGB7, CGB8, CRH, CSF2, CSF3, CXCL8, CXCR1, CXCR2, DBI, DHH, DLL1, DLL3, DLL4, DRD1, DRD2, DRD3, DRD4, DRD5, EDN1, EDN2, EDN3, EGF, EPO, EREG, FASLG, FGF1, FGF10, FGF11, FGF13, FGF14, FGF16, FGF17, FGF18, FGF19, FGF2, FGF20, FGF21, FGF22, FGF23, FGF3, FGF4, FGF5, FGF6, FGF7, FGF8, FGF9, FIGF, FSHB, FZD1, FZD10, FZD2, FZD3, FZD4, FZD5, FZD6, FZD7, FZD8, FZD9, GAL, GAST, GCG, GDF10, GDF11, GDF2, GDF3, GDF5, GDF6, GDF7, GDF9, GDNF, GH1, GHRH, GIP, GNAI1, GNAI2, GNAQ, GNAS, GNB3, GNB5, GNGT2, GNRH1, GRM1, GRM2, GRM3, GRM4, GRM5, GRM6, GRM7, GRM8, GRP, HBEGF, HGF, IFNA1, IFNA10, IFNA13, IFNA14, IFNA16, IFNA17, IFNA2, IFNA21, IFNA4, IFNA5, IFNA6, IFNA7, IFNA8, IFNB1, IFNG, IFNW1, IGF1, IGF2, IHH, IL10, IL11, IL12A, IL12B, IL13, IL15, IL16, IL17A, IL18, IL1A, IL1B, IL3, IL4, IL5, IL6, IL7, IL9, INHA, INHBA, INHBB, INHBC, INHBE, INS, JAG1, JAG2, KITLG, KNG1, LEP, LHB, LIF, LTA, MLN, MSTN, NDP, NGF, NODAL, NPPA, NPY, NRG1, NRG2, NRG3, NRG4, NTF3, NTF4, OXT, PDGFA, PDGFB, POMC, PPY, PRKCA, PRKCB, PRKCD, PRKCE, PRKCG, PRKCH, PRKCI, PRKCQ, PRKCZ, PRL, PRLH, PYY, RAF1, SCT, SHH, SMO, SST, TAC1, TAC3, TGFA, TGFB1, TGFB2, TGFB3, THPO, TNF, TNFSF10, TRH, TSHB, TXLNA, VEGFA, VEGFB, VEGFC, VIP, WNT1, WNT10A, WNT10B, WNT11, WNT16, WNT2, WNT2B, WNT3, WNT3A, WNT4, WNT5A, WNT5B, WNT6, WNT7A, WNT7B, WNT8A, WNT8B, WNT9A, WNT9B
767	Sustaining Proliferative Signaling	Heterotrimeric GPCR Signaling Pathway (through Glutamate, G Alpha Q And PLC Beta) ( GPCR GroupI Metabotropic Glutamate Receptor Signaling Pathway )	inoh	ARAF, BRAF, GNAQ, GNB3, GNB5, GNGT2, GRM1, GRM5, PRKCA, PRKCB, PRKCD, PRKCE, PRKCG, PRKCH, PRKCI, PRKCQ, PRKCZ, RAF1
796	Sustaining Proliferative Signaling	IGF1 Signaling Pathway ( IGF1 Signaling Pathway )	inoh	ARAF, BRAF, GRB2, HRAS, IGF1, IGF1R, IGFBP1, IGFBP2, IGFBP3, IGFBP4, IGFBP5, IGFBP6, IRS1, KLK3, KRAS, NRAS, PIK3CA, PIK3CB, PIK3CD, PIK3R1, PIK3R2, RAF1, SHC1, SHC2, SHC3, SOS1, SOS2
825	Sustaining Proliferative Signaling	IL2 Signaling Events Mediated By PI3K	pid	AKT1, BCL2, BCL2L1, CALM1, CALM2, CALM3, E2F1, EIF3A, FOXO3, GAB2, GRB2, HSP90AA1, IL2, IL2RA, IL2RB, IL2RG, JAK1, JAK3, LCK, MTOR, MYB, MYC, NFATC2, NFKB1, PIK3CA, PIK3R1, PRKCZ, PTPN11, RAC1, RELA, RPS6, RPS6KB1, SGMS1, SHC1, SMPD1, SOS1, TERT, UGCG
871	Sustaining Proliferative Signaling	Insulin Receptor Signaling ( Insulin Receptor Signaling (D. Melanogaster) ) // Insulin Receptor Signaling (Mammal) ( Insulin Receptor Signaling (Mammal) )	smpdb	AKT1, AKT1S1, AKT2, AKT3, ARAF, BRAF, EIF4E, EIF4EBP1, FKBP1A, FKBP8, GRB2, GSK3B, HRAS, INS, INSR, IRS1, IRS2, IRS4, KRAS, MLST8, MTOR, NRAS, PIK3CA, PIK3CB, PIK3CD, PIK3R1, PIK3R2, PPP2R1A, PPP2R1B, PPP2R2B, PPP2R2C, PPP2R3A, PPP2R3B, PPP2R4, PPP2R5A, PPP2R5B, PPP2R5C, PPP2R5D, PPP2R5E, PRKAA1, PRKAA2, PRKAB1, PRKAB2, PRKAG1, PRKAG2, PRKAG3, RAF1, RPTOR, SFN, SHC1, SHC2, SHC3, SLC2A4, SOS1, SOS2, TSC2, YWHAB, YWHAE, YWHAG, YWHAH, YWHAQ, YWHAZ
875	Sustaining Proliferative Signaling	Insulin/IGF Pathway Mitogen Activated Protein Kinase Kinase/MAP Kinase Cascade	reactome	ELK1, FOS, IGF1, IGF1R, IGF2, IGF2R, INS, INSR, INSRR, IRS1, IRS2, IRS4, MAP2K1, MAP2K2, MAP2K3, MAPK1, MAPK3, RAF1, RASA1, RPS6KA1, RPS6KA2, RPS6KA3, RPS6KA4, RPS6KA5, RPS6KA6, RPS6KB1, RPS6KB2, SOS1, SOS2
877	Sustaining Proliferative Signaling	Integrated Breast Cancer Pathway	pid	AKT1, ALKBH1, APOBEC3G, AQP7P3, AR, ARAF, ATF1, ATM, ATR, BACH1, BAD, BAK1, BARD1, BCL2, BID, BLM, BMPR2, BRAF, BRCA1, CCNB1IP1, CCND1, CDC25A, CDC25B, CDK2, CDK4, CERK, CHEK1, CHEK2, CHUK, CTNNB1, DCAKD, E2F1, EDAR, EGFR, FAU, FER, FILIP1, FOSL2, GSK3A, HDAC1, HIPK2, JAK1, JAKMIP1, LGALS13, MAP3K7CL, MAX, MDM2, MMP1, MSH2, MYC, MYT1, NAB1, NF1, NFKB1, NOXA1, ODC1, PAK1, PIAS1, PIK3R2, PKIA, PLK1, PML, PTEN, RAC1, RAD51, RALA, RB1, RHEB, RRAS, SIRT1, SMAD1, SMAD2, SMAD4, SMAD6, SMAD7, SMARCA4, STAT1, TAB1, TGFBR1, TP53, TPR, TRADD, TSC1, UBE2F, USP15, USP16, USP21, WEE1, ZMIZ1, ZMYND8
885	Sustaining Proliferative Signaling	Integrin Signaling Pathway ( Integrin Signaling Pathway )	reactome	ACAN, ACTB, AGRN, ARHGEF6, BCAN, BCAR1, BGN, BRAF, CAV1, CD44, CDC42, COL10A1, COL11A1, COL11A2, COL12A1, COL15A1, COL16A1, COL18A1, COL19A1, COL1A1, COL1A2, COL2A1, COL3A1, COL4A1, COL4A2, COL4A3, COL4A4, COL4A5, COL4A6, COL5A1, COL5A2, COL6A1, COL6A2, COL7A1, COL8A1, COL8A2, COL9A1, COL9A2, COL9A3, CRK, DCN, DOCK1, DOCK10, DOCK2, DOCK3, DOCK4, DOCK5, DOCK6, DOCK7, DOCK8, DOCK9, ELN, FN1, FYN, GPC1, GPC4, GRB2, HRAS, HSPG2, ITGA1, ITGA10, ITGA11, ITGA2, ITGA2B, ITGA3, ITGA4, ITGA5, ITGA6, ITGA7, ITGA8, ITGA9, ITGAD, ITGAE, ITGAL, ITGAM, ITGAV, ITGAX, ITGB1, ITGB2, ITGB3, ITGB4, ITGB5, ITGB6, ITGB7, ITGB8, KERA, KRAS, LAMB3, LAMC2, LCK, LUM, MAPK10, MAPK8, MAPK9, MCF2, NCAN, NRAS, PTK2, PXN, RAC1, RAF1, RAP1A, RAP1B, RAPGEF1, RHOA, SDC1, SDC2, SDC3, SDC4, SHC1, SHC2, SHC3, SMC3, SOS1, SOS2, SRC, TLN1, TLN2, TNC, TNXB, VAV1, VCAN, VCL
886	Sustaining Proliferative Signaling	Integrin Signalling Pathway	reactome	ACTB, ACTBL2, ACTG1, ACTN1, ACTN2, ACTN4, ARAF, ARF1, ARF6, ARHGAP10, ARHGAP26, ARL1, ARPC1A, ARPC1B, ARPC2, ARPC3, ARPC5, ARPC5L, ASAP1, BCAR1, BRAF, CAV1, CDC42, COL10A1, COL11A1, COL11A2, COL12A1, COL13A1, COL14A1, COL15A1, COL16A1, COL17A1, COL1A1, COL1A2, COL20A1, COL27A1, COL2A1, COL3A1, COL4A1, COL4A2, COL4A3, COL4A4, COL4A5, COL4A6, COL5A1, COL5A2, COL5A3, COL6A1, COL6A2, COL6A3, COL8A1, COL8A2, COL9A1, COL9A2, COL9A3, CRK, CRKL, CSK, DOCK1, ELMO1, ELMO2, FLNA, FLNB, FN1, FYN, HRAS, ILK, ITGA1, ITGA10, ITGA11, ITGA2, ITGA2B, ITGA3, ITGA4, ITGA5, ITGA6, ITGA7, ITGA8, ITGA9, ITGAD, ITGAE, ITGAL, ITGAM, ITGAV, ITGAX, ITGB1, ITGB2, ITGB4, ITGB5, ITGB6, ITGB7, ITGB8, ITGBL1, LAMA1, LAMA2, LAMA3, LAMA4, LAMA5, LAMB1, LAMB2, LAMB3, LAMB4, LAMC1, LAMC3, LIMS1, LIMS2, MAP2K1, MAP2K2, MAP2K3, MAP2K4, MAPK10, MAPK3, MAPK6, MAPK8, MAPK9, NRAS, NTN4, PARVA, PARVB, PIK3C2A, PIK3C2B, PIK3C3, PIK3CA, PIK3CB, PIK3CD, PIK3CG, PIK3R1, PIK3R2, PIK3R3, PTK2, PTK2B, PTPN12, PXN, RAC1, RAC2, RAF1, RAP1A, RAP1B, RAP2A, RAP2B, RAP2C, RAPGEF1, RHOA, RHOB, RHOC, RND1, RND2, RND3, RRAS, SHC1, SOS1, SOS2, SRC, TLN1, VASP, VCL
895	Sustaining Proliferative Signaling	Interleukin Signaling Pathway	reactome	AKT1, AKT2, AKT3, ARAF, BRAF, CDKN1A, CDKN1B, CHUK, CXCL8, CXCR1, CXCR2, ELK1, ELK3, ELK4, FOS, FOXO3, GSK3B, IKBKB, IL10, IL10RA, IL10RB, IL11, IL11RA, IL12RB1, IL12RB2, IL13, IL13RA1, IL13RA2, IL15, IL15RA, IL17A, IL17F, IL18, IL1A, IL2, IL20RA, IL21, IL23A, IL2RA, IL2RB, IL4, IL4R, IL5, IL5RA, IL6, IL6R, IL6ST, IL7, IL9, IRS1, IRS2, JAK3, MAPK1, MAPK15, MAPK3, MAPK6, MAPK7, MAPKAPK2, MKNK1, MKNK2, MTOR, MYC, NOS3, NRAS, PDPK1, PIK3CA, PIK3CB, RAF1, RASA1, RPS6KA1, RPS6KA2, RPS6KA3, RPS6KA6, SHC1, SOS1, SOS2, SPI1, SPIC, SRF, STAT1, STAT2, STAT3, STAT4, STAT5A, STAT5B, STAT6
907	Sustaining Proliferative Signaling	Intracellular Signalling Through Adenosine Receptor A2a And Adenosine // Intracellular Signalling Through Adenosine Receptor A2b And Adenosine	reactome	ADCY2, ADORA2A, ADORA2B, AKT1, ARHGEF7, ATF2, BAD, BRAF, CDC42, CHUK, CREB1, ELK1, GNAS, GNB1, GNGT1, HRAS, IKBKB, JUN, MAP2K2, MAP2K6, MAP2K7, MAP3K1, MAP3K4, MAPK1, MAPK11, MAPK8, NFKB1, NFKB2, NFKBIA, PAK1, PARD6A, PDPK1, PIK3CA, PRKACB, PRKCZ, RAP1A, RAPGEF2, RAPGEF3, RPS6KA1
922	Sustaining Proliferative Signaling	JAK/STAT Signaling Pathway	reactome	JAK1, JAK2, JAK3, PIAS1, PIAS2, PIAS3, PTPRC, SOCS1, SPDYE7P, STAT1, STAT3, STAT4, STAT5A, STAT5B, STAT6
925	Sustaining Proliferative Signaling	JNK Cascade ( EGF Signaling Pathway Diagram ) // JNK Cascade ( PDGF Signaling Pathway )	panther	JUN, MAP2K4, MAP3K1, MAPK8
974	Sustaining Proliferative Signaling	MAP2K And MAPK Activation	reactome	APBB1IP, ARAF, ARRB1, ARRB2, BRAF, CNKSR1, CNKSR2, CSK, FGA, FGB, FGG, FN1, HRAS, IL17RD, IQGAP1, ITGA2B, ITGB3, KRAS, KSR1, KSR2, LAMTOR2, LAMTOR3, MAP2K1, MAP2K2, MAPK1, MAPK3, MARK3, NRAS, PEBP1, RAF1, RAP1A, RAP1B, SRC, TLN1, VCL, VWF, WDR83, YWHAB
975	Sustaining Proliferative Signaling	MAP3K8 (TPL2) Dependent MAPK1/3 Activation	reactome	BTRC, CHUK, CUL1, FBXW11, IKBKB, IKBKG, MAP2K1, MAP2K4, MAP3K8, NFKB1, RPS27A, SKP1, TNIP2, UBA52, UBB, UBC
976	Sustaining Proliferative Signaling	MAPK1 (ERK2) Activation	reactome	IL6, IL6R, IL6ST, JAK1, JAK2, MAP2K2, MAPK1, PTPN11, TYK2
977	Sustaining Proliferative Signaling	MAPK3 (ERK1) Activation	reactome	CDK1, IL6, IL6R, IL6ST, JAK1, JAK2, MAP2K1, MAPK3, PTPN11, TYK2
978	Sustaining Proliferative Signaling	MAPK6/MAPK4 Signaling	reactome	AGO1, AGO2, AGO3, AGO4, CCND3, CDC14A, CDC14B, CDC42, CDC42EP2, CDC42EP3, CDC42EP5, CDK1, DNAJB1, ETV4, FOXO1, FOXO3, HSPB1, IGF2BP1, JUN, KALRN, MAPK4, MAPK6, MAPKAPK5, MMP10, MMP2, MOV10, MYC, NCOA3, PAK1, PAK2, PAK3, PRKACA, PRKACB, PRKACG, PSMA1, PSMA2, PSMA3, PSMA4, PSMA5, PSMA6, PSMA7, PSMA8, PSMB1, PSMB10, PSMB11, PSMB2, PSMB3, PSMB4, PSMB5, PSMB6, PSMB7, PSMB8, PSMB9, PSMC1, PSMC2, PSMC3, PSMC4, PSMC5, PSMC6, PSMD1, PSMD10, PSMD11, PSMD12, PSMD13, PSMD14, PSMD2, PSMD3, PSMD4, PSMD5, PSMD6, PSMD7, PSMD8, PSMD9, PSME1, PSME2, PSME3, PSME4, PSMF1, RAC1, RAG1, RAG2, RPS27A, SEPT7, TNRC6A, TNRC6B, TNRC6C, UBA52, UBB, UBC, XPO1
1818	Sustaining Proliferative Signaling	MTOR Signaling Pathway	humancyc	AKT1, AKT1S1, ATG13, BNIP3, BRAF, BTRC, CCNE1, CDK2, CLIP1, CYCS, DDIT4, DEPTOR, EEF2, EEF2K, EIF4A1, EIF4B, EIF4E, EIF4EBP1, FBXW11, HRAS, IKBKB, IRS1, KRAS, MAP2K1, MAP2K2, MAPK1, MAPK3, MAPKAP1, MLST8, MTOR, NRAS, PDCD4, PDPK1, PLD1, PLD2, PML, POLDIP3, PPARGC1A, PRKCA, PRR5, RAF1, RB1CC1, RHEB, RICTOR, RPS6KA1, RPS6KB1, RPTOR, RRAGA, RRAGB, RRAGC, RRAGD, RRN3, SFN, SGK1, SREBF1, TSC1, TSC2, ULK1, ULK2, YWHAB, YWHAE, YWHAG, YWHAH, YWHAQ, YWHAZ, YY1
1819	Sustaining Proliferative Signaling	MTOR Signalling	humancyc	AKT1, AKT1S1, LAMTOR1, LAMTOR2, LAMTOR3, LAMTOR4, LAMTOR5, MLST8, MTOR, RHEB, RPTOR, RRAGA, RRAGB, RRAGC, RRAGD, YWHAB
1820	Sustaining Proliferative Signaling	MTORC1 Mediated Signalling	humancyc	AKT1S1, EEF2K, EIF4B, EIF4E, EIF4EBP1, EIF4G1, LAMTOR1, LAMTOR2, LAMTOR3, LAMTOR4, LAMTOR5, MLST8, MTOR, RHEB, RPS6, RPS6KB1, RPTOR, RRAGA, RRAGB, RRAGC, RRAGD, YWHAB
1035	Sustaining Proliferative Signaling	MyD88 Dependent Cascade Initiated On Endosome // TRAF6 Mediated Induction Of NFkB And MAP Kinases Upon TLR7/8 Or 9 Activation	reactome	ECSIT, IRAK1, IRAK2, IRAK4, MAP3K1, MYD88, TLR7, TLR8, TLR9, TRAF6
1090	Sustaining Proliferative Signaling	Negative Regulation Of MAPK Pathway	inoh	ARAF, BRAF, BRAP, DUSP1, DUSP10, DUSP16, DUSP2, DUSP4, DUSP5, DUSP6, DUSP7, DUSP8, DUSP9, HRAS, KRAS, KSR1, MAPK1, MAPK3, MARK3, NRAS, PAQR3, PEBP1, PPP2CA, PPP2CB, PPP2R1A, PPP2R1B, PPP2R5A, PPP2R5B, PPP2R5C, PPP2R5D, PPP2R5E, PPP5C, RAF1, RPS27A, UBA52, UBB, UBC, YWHAB
1094	Sustaining Proliferative Signaling	Negative Regulation Of The PI3K/AKT Network	reactome	AKT1, AKT2, AKT3, PHLPP1, PHLPP2, PTEN, THEM4, TRIB3
1062	Sustaining Proliferative Signaling	NGF Signaling Pathway ( NGF Signaling Pathway )	reactome	ARAF, BRAF, GRB2, HRAS, KRAS, NGF, NRAS, NTRK1, PLCG1, PRKCD, RAF1, SHC1, SHC2, SHC3, SOS1, SOS2
1832	Sustaining Proliferative Signaling	P130Cas Linkage To MAPK Signaling For Integrins	humancyc	APBB1IP, BCAR1, CRK, FGA, FGB, FGG, FN1, ITGA2B, ITGB3, PTK2, RAP1A, RAP1B, SRC, TLN1, VWF
1833	Sustaining Proliferative Signaling	P38 MAPK Pathway	wikipathways	DUSP10, EEF2K, EIF4E, ELK1, GADD45A, HSPB1, IL1R1, MAP2K4, MAP2K6, MAP3K10, MAP3K4, MAP3K5, MAP3K7, MAPK11, MAPK12, MAPK13, MAPK14, MAPKAPK2, MAPKAPK3, MEF2B, MEF2C, MEF2D, MKNK1, MKNK2, RPS6KA4, RPS6KA5, SPPL2B, SRF, TAB1, TAB2, TRAF6
1837	Sustaining Proliferative Signaling	P38 Signaling Mediated By MAPKAP Kinases	humancyc	CDC25B, CREB1, ETV1, HSPB1, LSP1, MAPK11, MAPK14, MAPKAPK2, MAPKAPK3, RAF1, SFN, SRF, TCF3, TH, TSC2, YWHAB, YWHAE, YWHAG, YWHAH, YWHAQ, YWHAZ
1838	Sustaining Proliferative Signaling	P38MAPK Events	humancyc	HRAS, KRAS, MAPK11, MAPK12, MAPK13, MAPK14, MAPKAPK2, MAPKAPK3, NRAS, RALA, RALB, RALGDS, SRC
1845	Sustaining Proliferative Signaling	P75NTR Negatively Regulates Cell Cycle Via SC1	inoh	HDAC1, HDAC2, HDAC3, NGF, NGFR, PRDM4
